node_id,node_type,node_subtype,degree,source,source_edge,name,notes,display_group,display_color,display_label,infra_field,infra_type,infra_class,infra_category,infra_name,display_name,gate_name,gate_name_status,needs_gate_name_review,snap_dist_m,index_right,grid_x,grid_y,grid_id,lat,lon,cell_seq,grid_node_code
INF_0224,infrastructure,leisure:pitch,,infrastructure,E12059,Pitch,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Pitch,Pitch,,,False,26.05874759745714,3,1,4,14,40.77338610028915,-73.97512741441314,2,14002
INF_0292,infrastructure,amenity:toilets,,infrastructure,E04050,Toilets,useful_infrastructure; amenity:toilets,infrastructure,#1f77b4,Restroom,amenity,toilets,Restroom,Restroom,Toilets,Toilets,,,False,12.206930662994182,3,1,4,14,40.77292585446909,-73.9745315029242,7,14007
INF_0175,infrastructure,amenity:cafe,,infrastructure,E04047,Le Pain Quotidien,useful_infrastructure; amenity:cafe,infrastructure,#ff7f0e,Food / cafe,amenity,cafe,Food / cafe,Food / cafe,Le Pain Quotidien,Le Pain Quotidien,,,False,8.822139337369789,3,1,4,14,40.7729171495482,-73.97426140767004,8,14008
INF_0153,infrastructure,leisure:pitch,,infrastructure,E01681,Heckscher Ballfield 6,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Heckscher Ballfield 6,Heckscher Ballfield 6,,,False,24.833044456818612,3,1,4,14,40.77051292458567,-73.97638033131854,10,14010
INF_0154,infrastructure,leisure:pitch,,infrastructure,E01682,Heckscher Ballfields,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Heckscher Ballfields,Heckscher Ballfields,,,False,58.721309810913596,3,1,4,14,40.770374211127105,-73.97625995324269,11,14011
INF_0010,infrastructure,amenity:cafe,,infrastructure,E13758,Ballfields Café,useful_infrastructure; amenity:cafe,infrastructure,#ff7f0e,Food / cafe,amenity,cafe,Food / cafe,Food / cafe,Ballfields Café,Ballfields Café,,,False,13.305838861455651,3,1,4,14,40.770310699999996,-73.9757467,13,14013
INF_0151,infrastructure,leisure:pitch,,infrastructure,E01651,Heckscher Ballfield 4,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Heckscher Ballfield 4,Heckscher Ballfield 4,,,False,30.273038224710994,3,1,4,14,40.76987578550686,-73.97810148434215,15,14015
INF_0106,infrastructure,amenity:drinking_water,,infrastructure,E01650,Drinking Water,useful_infrastructure; amenity:drinking_water,infrastructure,#17becf,Drinking water,amenity,drinking_water,Drinking water,Drinking water,Drinking Water,Drinking Water,,,False,8.528080305179913,3,1,4,14,40.769785563816434,-73.97802621361842,16,14016
INF_0150,infrastructure,leisure:pitch,,infrastructure,E01631,Heckscher Ballfield 3,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Heckscher Ballfield 3,Heckscher Ballfield 3,,,False,20.89942471107083,3,1,4,14,40.76960173987594,-73.97826055592748,18,14018
INF_0149,infrastructure,leisure:pitch,,infrastructure,E01647,Heckscher Ballfield 2,useful_infrastructure; leisure:pitch,infrastructure,#e377c2,Recreation,leisure,pitch,Recreation,Recreation,Heckscher Ballfield 2,Heckscher Ballfield 2,,,False,23.432819693537258,3,1,4,14,40.76942019999999,-73.977105,19,14019
